ID,Site,Algae,Sediment,Temperature,Canopy
1,A,20,0,28,0
2,A,10,1,30,0
3,A,20,1,28,5
4,A,70,0,28,2
5,A,0,0,29,1
6,A,90,1,29,8
7,A,80,0,29,0
8,A,100,1,28,0
9,A,100,1,28,0
10,B,100,0,29,11
11,B,90,1,29,12
12,B,50,0,30,14
13,B,100,1,29,11
14,B,100,1,28,10
15,B,100,1,29,15
16,B,100,1,30,12
17,B,80,1,29,4
18,B,100,1,29,10
19,C,0,0,29,15
20,C,0,1,29,14
21,C,0,0,29,14
22,C,0,0,29,15
23,C,0,1,29,11
24,C,0,0,29,8
25,C,0,1,29,15
26,C,0,1,29,11
27,C,0,0,29,14
